"","weight","genus","DEPTH"
"ACD1",0.0385243375691136,"ACD",5
"ACE1",0.0149498087417188,"ACE",5
"ACO1",0.240470356207813,"ACO",5
"ACS1",-0.00399241972403944,"ACS",5
"ACT1",0.224305303094224,"ACT",5
"ACX1",0.069964750955391,"ACX",5
"pm1",0.122482512253533,"pm",5
"pb1",0.0750949824198016,"pb",5
"prus1",0.0866597049624061,"prus",5
"psm_e1",-0.00486606895113969,"psm_e",5
